zip_code,building_type, consumption_therms, consumption_gj,utility_data_source
11413,Small Residential,10114455,1067132,National Grid
11414,Industrial,4334,457,National Grid
11414,Institutional,116362,12277,National Grid
11414,Commercial,1151068,121444,National Grid
11414,Large Residential,2790928,294459,National Grid
11414,Small Residential,6266456,661146,National Grid
11415,Commercial,462,49,ConEd
11415,Commercial,887,94,ConEd
11415,Residential,1303,137,ConEd
11415,Institutional,580482,61244,National Grid
11415,Commercial,586484,61877,National Grid
11415,Small Residential,1700526,179415,National Grid
11415,Large Residential,3021274,318761,National Grid
11416,Large Residential,138988,14664,National Grid
11416,Industrial,141055,14882,National Grid
11416,Institutional,277779,29307,National Grid
11416,Commercial,736110,77664,National Grid
11416,Small Residential,5019507,529586,National Grid
11417,Industrial,47683,5031,National Grid
11417,Institutional,196503,20732,National Grid
11417,Large Residential,287216,30303,National Grid
11417,Commercial,777807,82063,National Grid
11417,Small Residential,6605848,696954,National Grid
11418,Institutional,726983,76701,National Grid
11418,Industrial,1146988,121014,National Grid
11418,Large Residential,1398053,147502,National Grid
11418,Commercial,1462567,154309,National Grid
11418,Small Residential,6229973,657297,National Grid
11419,Industrial,95925,10121,National Grid
11419,Institutional,150090,15835,National Grid
11419,Large Residential,221654,23386,National Grid
11419,Commercial,1174701,123938,National Grid
11419,Small Residential,8591091,906408,National Grid
11420,Industrial,8901,939,National Grid
11420,Large Residential,108873,11487,National Grid
11420,Institutional,2004714,211509,National Grid
11420,Commercial,8380985,884241,National Grid
11420,Small Residential,9694601,1022835,National Grid
11421,Industrial,22617,2386,National Grid
11421,Institutional,154578,16309,National Grid
11421,Commercial,743600,78454,National Grid
11421,Large Residential,1299205,137073,National Grid
11421,Small Residential,7298987,770084,National Grid
11422,Commercial,295,31,ConEd
11422,Industrial,13360,1410,National Grid
11422,Large Residential,149873,15812,National Grid
11422,Institutional,240378,25361,National Grid
11422,Commercial,519522,54812,National Grid
11422,Small Residential,7114276,750596,National Grid
11423,Commercial,23,2,ConEd
11423,Residential,21201,2237,ConEd
11423,Commercial,71779,7573,ConEd
11423,Industrial,194292,20499,National Grid
11423,Residential,261189,27557,ConEd
11423,Institutional,508795,53681,National Grid
11423,Commercial,660047,69639,National Grid
11423,Large Residential,1922380,202822,National Grid
11423,Small Residential,5458466,575899,National Grid
11426,Commercial,1380,146,National Grid
11426,Small Residential,2754,291,National Grid
11426,Residential,233178,24602,ConEd
11426,Commercial,529932,55911,ConEd
11426,Commercial,1716958,181149,ConEd
11426,Residential,2508430,264653,ConEd
11427,Industrial,14014,1479,National Grid
11427,Residential,77967,8226,ConEd
11427,Commercial,141057,14882,National Grid
11427,Institutional,219049,23111,National Grid
11427,Commercial,661448,69786,ConEd
11427,Commercial,1165892,123008,ConEd
11427,Residential,1373653,144928,ConEd
11427,Large Residential,1587862,167528,ConEd
11427,Small Residential,2286768,241267,National Grid
11427,Large Residential,2347279,247651,National Grid
11428,Industrial,1772,187,National Grid
11428,Residential,6282,663,ConEd
11428,Commercial,19477,2055,ConEd
11428,Commercial,65563,6917,ConEd
11428,Residential,69640,7347,ConEd
11428,Large Residential,172865,18238,National Grid
11428,Institutional,196563,20738,National Grid
11428,Commercial,596996,62986,National Grid
11428,Small Residential,3960945,417902,National Grid
11429,Commercial,755,80,ConEd
11429,Residential,796,84,ConEd
11429,Large Residential,47307,4991,National Grid
11429,Industrial,150862,15917,National Grid
11429,Commercial,717488,75699,National Grid
11429,Institutional,1416594,149459,National Grid
11429,Small Residential,5893890,621838,National Grid
11430,Small Residential,9195,970,National Grid
11430,Industrial,563052,59405,National Grid
11430,Institutional,2611959,275576,National Grid
11430,Commercial,7251275,765050,National Grid
11432,Residential,77137,8138,ConEd
11432,Industrial,106054,11189,National Grid
11432,Commercial,1277032,134734,ConEd
11432,Institutional,1307797,137980,National Grid
11432,Commercial,1433501,151242,ConEd
11432,Residential,1830443,193122,ConEd
11432,Large Residential,2212791,233462,ConEd
11432,Commercial,2979507,314355,National Grid
11432,Small Residential,5707516,602175,National Grid
11432,Large Residential,6817221,719255,National Grid
11433,Commercial,26725,2820,ConEd
11433,Institutional,1519465,160312,National Grid
11433,Commercial,1531565,161589,National Grid
11433,Industrial,2449515,258438,National Grid
11433,Large Residential,5080122,535981,National Grid
11433,Small Residential,5792993,611193,National Grid
11434,Industrial,284067,29971,National Grid
11434,Institutional,2215716,233770,National Grid
11434,Commercial,2955224,311793,National Grid
11434,Small Residential,10076855,1063165,National Grid
11434,Large Residential,38846378,4098510,National Grid
11435,Residential,6659,703,ConEd
11435,Commercial,79476,8385,ConEd
11435,Industrial,85671,9039,National Grid
11435,Commercial,160509,16935,ConEd
11435,Residential,427854,45141,ConEd
11435,Institutional,865115,91274,National Grid
11435,Commercial,2935798,309743,National Grid
11435,Large Residential,4902151,517204,National Grid
11435,Small Residential,6630439,699548,National Grid
11436,Institutional,220564,23271,National Grid
11436,Large Residential,225350,23776,National Grid
11436,Commercial,275889,29108,National Grid
11436,Small Residential,4012282,423318,National Grid
11438,Institutional,1770,187,National Grid
11439,Commercial,3739,395,ConEd
11441,Small Residential,1126,119,National Grid
11446,Small Residential,604,64,National Grid
11450,Commercial,455,48,National Grid
11468,Small Residential,1601,169,National Grid
11468,Institutional,49184,5189,National Grid
11469,Commercial,151,16,National Grid
11469,Institutional,41819,4412,National Grid
11472,Institutional,7869,830,National Grid
11473,Small Residential,7335,774,National Grid
11473,Institutional,40595,4283,National Grid
11474,Large Residential,2223970,234641,National Grid
11475,Institutional,8503,897,National Grid
11477,Institutional,22660,2391,National Grid
11477,Large Residential,493904,52110,National Grid
11478,Institutional,19018,2007,National Grid
11479,Institutional,21169,2233,National Grid
11485,Institutional,10790,1138,National Grid
11691,Large Residential,7229588,762762,National Grid
11691,Commercial,7506142,791940,National Grid
11691,Small Residential,7887704,832197,National Grid
11692,Commercial,777179,81997,National Grid
11692,Large Residential,983881,103805,National Grid
11692,Small Residential,2194609,231544,National Grid
11693,Small Residential,948328,100054,National Grid
11693,Commercial,948937,100118,National Grid
11693,Large Residential,2505401,264334,National Grid
11694,Large Residential,1573127,165974,National Grid
11694,Commercial,2058660,217200,National Grid
11694,Small Residential,4716368,497603,National Grid
11695,Small Residential,6691,706,National Grid
11695,Commercial,29091,3069,National Grid
11696,Small Residential,5218,551,National Grid
11697,Commercial,95842,10112,National Grid
