zip_code,building_type, consumption_therms, consumption_gj,utility_data_source
10461,Commercial,313,33,ConEd
10461,Residential,587242,61957,ConEd
10461,Commercial,3065943,323474,ConEd
10461,Commercial,3657783,385917,ConEd
10461,Residential,4848889,511585,ConEd
10461,Large Residential,9651221,1018258,ConEd
10462,Residential,700617,73919,ConEd
10462,Commercial,2619354,276356,ConEd
10462,Residential,2849924,300683,ConEd
10462,Commercial,3712204,391658,ConEd
10462,Large Residential,8264125,871912,ConEd
10463,Commercial,3561,376,ConEd
10463,Large Residential,219710,23181,ConEd
10463,Residential,507053,53497,ConEd
10463,Residential,1918613,202424,ConEd
10463,Commercial,2174885,229463,ConEd
10463,Commercial,7214349,761154,ConEd
10464,Commercial,75,8,ConEd
10464,Residential,46873,4945,ConEd
10464,Commercial,312764,32998,ConEd
10464,Commercial,602169,63532,ConEd
10464,Residential,1094782,115506,ConEd
10465,Residential,315919,33331,ConEd
10465,Commercial,1220820,128803,ConEd
10465,Commercial,3489361,368147,ConEd
10465,Residential,6724287,709450,ConEd
10466,Residential,891414,94049,ConEd
10466,Large Residential,1382332,145844,ConEd
10466,Commercial,2343491,247251,ConEd
10466,Residential,6056272,638971,ConEd
10466,Commercial,6931173,731278,ConEd
10467,Commercial,14662,1547,ConEd
10467,Residential,1242679,131110,ConEd
10467,Residential,2670008,281701,ConEd
10467,Commercial,3067369,323625,ConEd
10467,Large Residential,4811979,507691,ConEd
10467,Commercial,10790922,1138503,ConEd
10468,Commercial,7690,811,ConEd
10468,Residential,907812,95779,ConEd
10468,Residential,998166,105312,ConEd
10468,Large Residential,2590340,273295,ConEd
10468,Commercial,3511905,370526,ConEd
10468,Commercial,4380584,462176,ConEd
10469,Commercial,1,0,ConEd
10469,Large Residential,18293,1930,ConEd
10469,Residential,623043,65734,ConEd
10469,Commercial,2237093,236026,ConEd
10469,Residential,7945664,838312,ConEd
10469,Commercial,8063164,850709,ConEd
10470,Residential,236066,24906,ConEd
10470,Commercial,841945,88830,ConEd
10470,Commercial,878692,92707,ConEd
10470,Residential,1431048,150984,ConEd
10471,Commercial,6866,724,ConEd
10471,Large Residential,56954,6009,ConEd
10471,Residential,128800,13589,ConEd
10471,Commercial,1183226,124837,ConEd
10471,Residential,2226655,234925,ConEd
10471,Commercial,2240882,236426,ConEd
10472,Large Residential,17374,1833,ConEd
10472,Residential,827862,87344,ConEd
10472,Commercial,1887751,199168,ConEd
10472,Residential,2650312,279623,ConEd
10472,Commercial,5479605,578129,ConEd
10473,Large Residential,13657,1441,ConEd
10473,Residential,233862,24674,ConEd
10473,Commercial,1408773,148633,ConEd
10473,Residential,3609517,380824,ConEd
